aa,bb,cccc,d,e,ff,gg,hh,ii,jjj,k,l,MM,NnN,O,pp,qqq,rRr,ss,tt
1.01789903734,0.0967392646933,0.00705628,1.5534,23.5,-67.6,143.292530706,-1.505542589004e+00,2.999552182853e+00,3.35086100696,705045489.813,8859674.66617,1.82576974019e-06,1.673304972302e-04,88.2988432066,-1.494,-6.428,16.9225916,-6.8956093,-23.869
-1.20198679301,-0.280672398927,0.0127659,1.5455,31.7,-27.2,-918.479531984,1.687287160821e+00,1.627459862881e+00,1.39880797975,955281006.033,9236170.62464,9.56618381168e-06,7.401948790742e-04,96.8183800386,-1.424,6.001,8.05168325,0.478113671,-20.891
1.69939470633,6.98142037377,0.0328023,1.57044,85.3,-37.1,374.181000836,1.925165972422e+00,4.714234613281e+00,2.10683341071,545184705.64,10283208.9009,4.55619254337e-06,1.491598808880e-04,-70.2672107394,1.254,2.224,-0.390441908,-1.83750965,-0.83808
0.60840855716,3.37491150046,0.0238879,1.73418,74.2,-89.1,310.835609983,2.694011055793e+00,-1.784226237048e+00,4.10019607728,796880031.693,5455661.84434,4.02828884257e-06,1.637058318415e-04,42.6844409847,0.6922,6.366,23.7654516,6.92926771,-22.52
-4.04246975878,3.89229250371,-0.0143644,1.5167,62.2,-95.3,793.02915274,-1.558831102811e+00,4.628935058049e+00,1.78695926601,912790550.607,7121520.57109,7.45575507671e-06,9.613132214014e-04,-84.6024656056,0.4049,5.684,6.3035821,-24.3066339,-24.551
-2.79634465878,7.4754961183,-0.028031,1.56293,67.5,-34.4,290.031908846,9.749816884228e-01,-3.970294473453e+00,-0.375888574723,48908152.1982,8992298.90456,6.74932361886e-06,5.804009245337e-04,67.4925202366,2.026,-6.567,8.97520715,7.16102424,-10.013
1.67509931295,-0.51178412291,0.0310345,1.65788,54,-61.4,694.363682925,-2.753948095197e+00,3.246461872069e+00,-1.2547123796,600134589.77,8940204.16084,5.08123971181e-06,5.372966373310e-04,5.89981155922,2.06,6.558,1.71129811,-18.5435292,-22.178
-0.187423358482,9.16298986859,0.024978,1.56496,50.4,-44.6,593.909383657,2.839103783443e+00,-1.445223117817e+00,2.50364972453,65952605.7929,8998781.47834,9.6055131868e-06,3.995332523178e-04,-61.1935226316,2.865,-5.109,18.8379109,-23.3859391,-23
-1.91036276447,6.85559453742,0.0422919,1.50876,60.8,-39.2,-478.714099498,1.859507070123e+00,8.882453492582e-01,-2.25954387972,924270975.789,6043124.51848,1.3117694599e-06,6.449243258696e-04,56.0318760026,1.239,-0.517,-2.94837161,9.63127761,-21.498
-4.18652548203,5.66618891239,0.0132738,1.58554,45.4,-77.7,-966.292615041,6.486399214828e-01,8.975897801336e-02,-1.78225660855,738454325.726,5162500.84726,6.37091142954e-06,1.199093767768e-04,52.3264132242,1.177,-4.465,7.76553703,-2.82126366,-1.1399
0.0593633519158,4.43106842936,-0.0157864,1.69874,53.8,-79.3,473.706052516,2.257598449303e+00,1.045152073737e+00,-0.405921948935,716487307.62,5335153.38866,5.92053946059e-08,4.960213013496e-04,-41.0919377277,0.03154,-1.819,-1.51001783,-10.5886848,-10.59
-3.83663989576,8.77469351021,-0.00850207,1.53764,55.9,-34.3,704.929857912,7.127160773875e-01,-2.412228022565e+00,0.160819500489,138167056.271,5002468.85547,1.18959078298e-06,9.384346807977e-04,-91.0160634978,1.88,-3.568,-3.29097731,-3.32648933,-13.732
1.47756602999,5.31587939228,-0.0298476,1.63119,29.2,-34.5,92.3784033145,4.295062989531e-01,-3.531010313549e+00,-0.936466983039,66879822.2013,6403706.90167,3.836011265e-06,6.722996528988e-04,98.1370854451,3.191,-1.799,1.0335419,-22.2834946,-1.8795
1.08137375118,9.49865989748,-0.0368977,1.62317,93.4,-35.6,-686.672453696,1.827789832565e+00,6.730851101859e-01,-0.13635768209,736465526.991,2598332.75928,1.73065990645e-06,7.766831651043e-04,90.7695167144,1.579,2.254,24.3724366,-12.2789371,-24.4
4.97643664712,-0.891728585328,-0.0393361,1.61347,87.5,-93,-884.39105169,2.528814534547e+00,-2.419702325114e-01,3.12155572887,769256602.161,9946558.67181,8.16561246111e-06,1.163138335143e-04,58.1419563358,3.158,4.087,-23.5201426,-17.664097,-3.5161
-0.80543036475,6.89322339857,0.0025933,1.74732,67.4,-91.3,-30.959201751,6.838409923212e-01,2.295235073495e+00,-4.69567899352,641284234.475,8510326.29545,9.07284580615e-06,4.359516322906e-04,80.219433689,-1.074,-4.777,2.11719631,8.97804173,-10.904
-2.82132417146,6.66911844832,0.0347156,1.70061,38.4,-76.9,850.195478147,-3.570398300320e-01,-3.819958574329e+00,-0.111395419834,986348740.608,1039251.76208,4.32563609892e-06,4.572392540605e-04,10.767201243,1.617,-1.374,-10.9777869,2.57664856,-19.621
-3.44657583126,5.00965068932,-0.0341923,1.66644,79.2,-40.5,-704.797397299,7.636352492877e-01,1.759719325174e-01,2.65022588839,835393991.627,10708728.7843,6.57109619048e-06,8.202417032631e-04,-4.97860997647,3.438,-3.093,-15.2711457,-10.572114,-5.4202
3.14125967867,2.80620278716,-0.0472766,1.50155,77.1,-66.2,-978.053646157,9.404447465065e-01,5.853596040014e-01,-4.35997561304,563371662.155,6637606.22028,5.30378834564e-06,6.621309731393e-04,-109.825144423,-0.5082,6.625,21.4842385,-0.194225917,-7.3475
