Орёл	Orange-red	100007	schneeweiß
Löffelente	pechschwarz	dorado	QtUYjnrt89--1q
löffelente	púrpura	PUFFIN des Baléares	xz--21jr
löffelente	Red-violet	gray-Veined White	12345678917
Pipit de Godlewski	schneeweiß	Pine White	QtUYjnrt89--w
Silbón Europeo	rouge	Peacock Butterfly	xz--21jg
Macreuse à bec jaune	pechschwarz	QtUYjnrt89--y	Grünspan
Macreuse à bec jaune	pechschwarz	ARAQUA-pintado	Lion
Pipit de Godlewski	púrpura	QtUYjnrt89--h3	John Steinbeck
löffelente	Red-violet	QtUYjnrt89--7a	kohlrabenschwarz
Pipit de Godlewski	púrpura	Alfalfa Butterfly	QtUYjnrt89--ab
Marreca-cabocla	Orange-red	Ringle	QtUYjnrt89--e
Pipit de Godlewski	kohlrabenschwarz	Behr's Hairstreak	silbón Europeo
LÖFFELENTE	Rouge	xz--21jt	SCHNEEWEISS
LÖFFELENTE	Púrpura	pipit de Godlewski	Gulf Fritillary
Araqua-pintado	red-violet	QtUYjnrt89--rj	clouded Leopard
Macreuse à bec jaune	red-violet	xz--21j5	THE Grapes of Wrath
Pipit de Godlewski	PÚRPURA	QtUYjnrt89--d	12345678914
Löffelente	Red-violet	schneeweiß	QtUYjnrt89--k
Marreca-cabocla	Red-violet	Marreca-cabocla	Cerise
Macreuse à bec jaune	púrpura	12345678910	QtUYjnrt89--b.
Орёл	rouge	Pipit de Godlewsk	QtUYjnrt89--4
Macreuse à bec jaune	kohlrabenschwarz	6	100003
Орёл	Red-violet	william Peter Blatty	EDITH'S Checkerspot
Pipit de Godlewski	schneeweiß	QtUYjnrt89--c	xz--21jt
Лебедь	pechschwarz	Ringle	orange Sulphur
Macreuse à bec jaune	púrpura	tüpfelsumpfhuhn	GULF Fritillary
Araqua-pintado	Red-violet	the Mark of Zorro	WILLIAM Peter Blatty
Pipit de Godlewski	púrpura	QtUYjnrt89--1	SNOW Leopard
löffelente	Orange-red	100004	SILBÓN Europeo
Pipit de Godlewski	schneeweiß	暗紅色/暗赤色	Macreuse à bec jaune
Macreuse à bec jaune	pechschwarz	xz--21jr	JOHN Steinbeck
Pipit de Godlewski	kohlrabenschwarz	12345678913	QtUYjnrt89--n
Орёл	Red-violet	QtUYjnrt89--tk	白湯
Лебедь	schneeweiß	ARAQUA-pintado	silbón Europeo
Лебедь	Red-violet	Gulf Fritillary	Sooty Copper
Лебедь	red-violet	暗紅色/暗赤色	黄枯茶
Macreuse à bec jaune	PÚRPURA	WILLIAM Peter Blatty	Leopard
Araqua-pintado	暗紅色/暗赤色	john Steinbeck	12345678908
Marreca-cabocla	red-violet	Macreuse à bec jaune	kohlrabenschwarz
Araqua-pintado	PÚRPURA	SILBÓN Europeo	ababCDEF
Araqua-pintado	pechschwarz	12345678915	CLOUDED Leopard
Löffelente	pechschwarz	12345678909	the Mark of Zorro
löffelente	rouge	QtUYjnrt89--g2	9
Орёл	pechschwarz	Edith's Checkerspot	QtUYjnrt89--z7
Pipit de Godlewski	red-violet	Лебедь	ababCDEF
löffelente	暗紅色/暗赤色	QtUYjnrt89--3	GULF Fritillary
Лебедь	kohlrabenschwarz	edith's Checkerspot	MACREUSE à bec jaune
Araqua-pintado	暗紅色/暗赤色	QtUYjnrt89--k	PUFFIN des Baléares
Löffelente	Orange-red	QtUYjnrt89--sn	Malvasía Cabeciblanca
LÖFFELENTE	pechschwarz	1	QtUYjnrt89--eh
LÖFFELENTE	Orange-red	INDRA Swallowtail	QtUYjnrt89--4i
löffelente	púrpura	tüpfelsumpfhuhn	Orange Sulphur
LÖFFELENTE	PÚRPURA	QtUYjnrt89--k	QtUYjnrt89--b
Silbón Europeo	kohlrabenschwarz	xz--21js	QtUYjnrt89--o
Pipit de Godlewski	Rouge	QtUYjnrt89--yl	QtUYjnrt89--3
Орёл	rouge	4	QtUYjnrt89--6
Löffelente	PÚRPURA	5	12345678914
löffelente	PÚRPURA	黄枯茶	濡れ羽色
Silbón Europeo	暗紅色/暗赤色	schneeweiß	Gulf Fritillary
Macreuse à bec jaune	kohlrabenschwarz	QtUYjnrt89--4	Jaguar
Лебедь	kohlrabenschwarz	QtUYjnrt89--d	PEACOCK Butterfly
Löffelente	púrpura	白湯	xz--21j3
